trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0382835	0.0467
-0.0195	-0.0754	0.031	-0.00046949356878647465	-4.71238898038469e-05	-0.0008150687606813518	1.10969567	50.63978958	1.11147287	0.19248431096358368	0.0328916	0.02995
-0.0196	-0.0812	0.0281	-0.0002530727415391778	-9.948376736367679e-05	-0.0008464846872172499	0.96890348	44.21488571	0.99820828	0.02380983156715124	0.0302974	0.02544
-0.0234	-0.0989	0.0342	0.00017453292519943296	-0.0002652900463031381	-0.0010925761117484504	0.88215035	40.2559967	0.9433792	0.06957516851046364	0.0289068	0.02434
-0.0272	0.0108	0.0536	0.00033335788713091696	-0.00040840704496667313	-0.001296779634231787	0.95850575	43.74039459	0.95831968	0.1582072741539178	0.0285603	0.0222
-0.0285	0.2129	0.0479	0.0003089232776029963	-0.00033684854563490564	-0.001129228026040331	1.30982566	59.77250671	1.15775538	0.2222772358525572	0.0366212	0.02852
-0.0405	0.0577	0.036	0.0005462880558742252	-0.00048171087355043494	-0.0013892820845874865	1.11211407	50.75014877	1.05681248	0.21121405823669567	0.031485	0.02328
-0.043	0.0065	0.0422	0.0006527531402458793	-0.0005323254218582705	-0.001481784534943186	0.88863701	40.55200958	0.93545157	0.07237910415175945	0.0306991	0.02314
-0.0451	-0.0432	0.0415	0.000705113017805709	-0.0004747295565424576	-0.0015865042900628454	0.87349951	39.86122513	0.92711571	0.0632337748997651	0.0301228	0.02286
-0.0455	-0.0847	0.0583	0.0007470009198535729	-0.0004520402762665313	-0.001689478715930511	0.86729509	39.57809448	0.92552993	0.06707758040957278	0.0296679	0.02321
-0.0477	-0.1075	0.0721	0.0006946410422937432	-0.0004380776422505767	-0.0018151424220741027	0.82863843	37.81403732	0.9055188	0.048399310885968806	0.0289711	0.02229
-0.0506	-0.1143	0.0794	0.0006998770300497262	-0.0004380776422505767	-0.0019163715186897737	0.80511689	36.74065781	0.89715794	0.02232325421858269	0.0285685	0.02177
-0.0528	-0.11	0.083	0.0008779006137531476	-0.00038397243543875244	-0.0019582594207376374	0.79865038	36.44556427	0.8940454	0.02380083462815548	0.0290059	0.02173
-0.0539	-0.0894	0.0806	0.000973893722612836	-0.0003595378259108319	-0.0019896753472735357	0.80242068	36.61761856	0.89341521	0.03169218224617537	0.0289487	0.02147
-0.0556	-0.0645	0.0977	0.000874409955249159	-0.00032812189937493397	-0.001980948701013564	0.80991149	36.95945358	0.89939242	0.05068131700797729	0.0289119	0.01999
-0.0543	-0.0433	0.1141	0.0008988445647770796	-0.00024085543677521747	-0.001947787445225672	0.81010467	36.96826935	0.89808158	0.04614311639577647	0.0279607	0.0191
-0.0449	0.0176	0.0972	0.0008499753457212384	-3.839724354387525e-05	-0.0017034413499464657	0.97459495	44.47460938	0.99628711	0.11198367537831948	0.0268854	0.01881
-0.0427	-0.0918	0.0926	0.0007801621756414653	-8.726646259971648e-06	-0.0016982053621904826	1.03680205	47.31336212	1.00677546	0.12143598775598297	0.0249703	0.01811
-0.0356	0.1629	0.1056	0.0004520402762665313	9.773843811168246e-05	-0.0014416419621473165	1.57987916	72.09611511	1.27491651	0.3093575191894877	0.0312976	0.02287
-0.0341	0.0363	0.0513	0.0007068583470577034	0.0001658062789394613	-0.0012880529879718153	1.29675674	59.17612076	1.13085177	0.20622374428972265	0.0293363	0.02483
-0.0318	-0.1546	0.0728	0.0006597344572538566	0.000307177948351002	-0.001282817000215832	1.4180845	64.71278381	1.23592935	0.2243865773485685	0.0266321	0.02292
-0.0305	0.1289	0.0894	0.000710349005561692	0.000317649923862968	-0.0011397000015522971	1.70714748	77.90386963	1.36690623	0.31161017612416686	0.0328339	0.02548
-0.0262	-0.1642	0.0541	0.0009162978572970229	0.0003159045946109737	-0.0011728612573401894	1.67811382	76.57894897	1.32577944	0.3447427718387609	0.0281557	0.02541
-0.0259	-0.1761	0.0672	0.0008429940287132613	0.0003438298626428829	-0.0011239920382843482	0.96291411	43.94156647	0.97601003	0.03280491578357559	0.0275406	0.02395
-0.0241	0.0125	0.0704	0.0008115781021773631	0.0003612831551628262	-0.0010943214410004448	1.28146625	58.47835541	1.13236385	0.19752699081698727	0.0280383	0.02193
-0.022	-0.1484	0.0708	0.000900589894029074	0.00039269908169872416	-0.0011519173063162574	1.18831229	54.22737122	1.08084504	0.17230117918517107	0.0271246	0.02225
-0.0232	0.0997	0.0761	0.001059414855960558	0.00029845130209103034	-0.0011798425743481666	1.43265796	65.37783051	1.19207936	0.26864990047855436	0.0295445	0.02277
-0.0208	0.0056	0.0494	0.0013578661580515882	0.00032637657012293966	-0.0011327186845443199	1.01089811	46.13126755	0.98773723	0.1418750229963393	0.0287329	0.02408
-0.0193	0.1106	0.0668	0.0014154620233674013	0.00032637657012293966	-0.0011379546723003027	1.02606618	46.82344437	0.98620391	0.1270415926535898	0.0306325	0.02458
-0.0205	0.1806	0.051	0.0014049900478554352	0.00024085543677521747	-0.0012199851471440364	1.00313365	45.77694321	1.00602471	0.09590117918517112	0.0330454	0.02795
-0.0244	0.0016	0.0708	0.0013264502315156904	0.0001308996938995747	-0.0013578661580515882	1.21907151	55.63103867	1.10301272	0.21901882850614696	0.0271367	0.02155
-0.0244	0.0968	0.0883	0.0009459684545809266	0.0001291543646475804	-0.0013456488532876281	1.08306205	49.4243927	1.01371774	0.1324222205475359	0.0280911	0.02032
-0.0226	0.0698	0.0563	0.0010506882097005862	0.00017104226669544429	-0.0012374384396639797	0.99722004	45.50708008	0.99753427	0.0735409035395586	0.0286952	0.02267
