trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0845006	0.23688
0.0127	0.067	-0.0605	-0.001054178868204575	0.00015707963267948963	0.0001972222054753592	1.40882099	58.93054962	1.33061586	0.2106240353179712	0.0730984	0.19461
0.0157	0.0971	-0.0644	-0.0012897983172238095	0.0002024581932313422	0.000307177948351002	1.09059262	45.61915207	1.05632488	0.05654768762233649	0.0698656	0.1859
0.0197	0.05	-0.1	-0.0015917402778188286	0.000296705972839036	0.0002670353755551324	1.09707642	45.89036942	1.06271982	0.10851661564992912	0.0683557	0.18223
0.0254	0.0818	-0.1371	-0.0017715091907742446	0.0004206243497306334	0.00037350045992678646	1.14341295	47.82861328	1.09772968	0.09510761871093336	0.0637857	0.16791
0.027	0.0808	-0.1213	-0.0016458454846306526	0.0003822271061867582	0.0003787364476827695	1.11281633	46.54876709	1.06830335	0.026864846872172513	0.0650662	0.16721
0.035	0.0874	-0.1077	-0.0015760323145508795	0.0005515240436302081	0.0005619960191421741	1.288131	53.88212204	1.18383376	0.049318483949131395	0.0667431	0.16613
0.0779	0.06	-0.3067	-0.003532546406036523	0.0008115781021773631	0.0008656833089891874	2.10842681	88.19484711	1.99124991	0.39531277199399056	0.0540653	0.12723
0.0965	0.5115	-0.6138	-0.004944517770899936	0.001403244718603441	0.0005288347633542819	3.0632515	128.13487244	2.78064335	0.8942243263462198	0.0196977	0.0213
0.0976	0.4984	-0.6826	-0.005230751768227006	0.0018500490071139892	0.00045902159327450867	1.14284158	47.8047142	1.10820087	0.12314257279586951	0.0167717	0.01328
0.0994	0.5013	-0.7245	-0.00488168591782814	0.002228785454796759	0.00039269908169872416	1.07101095	44.80006027	1.05234323	0.08630624048287101	0.0146405	0.00782
